Sector,Distance %,Speed (MPH),Throttle (%),Brake (%),Gear
1,0%,120,100,0,6
1,25%,133,100,0,6
1,50%,145,100,0,6
1,75%,48,0,100,2
1,100%,86,86.33,0,3
2,0%,87,100,0,4
2,25%,101,100,0,3
2,50%,82,0,69.59,5
2,75%,76,100,0,3
2,100%,98,100,0,4
3,0%,99,100,0,4
3,25%,96,2.77,8,4
3,50%,107,100,0,4
3,75%,114,100,0,4
3,100%,125,100,0,5
4,0%,125,100,0,5
4,25%,116,0,100,5
4,50%,76,94.53,0,3
4,75%,99,100,0,3
4,100%,113,100,0,4
5,0%,113,100,0,5
5,25%,104,12.3,0.32,4
5,50%,110,100,0,4
5,75%,119,100,0,5
5,100%,125,100,0,5
6,0%,125,100,0,5
6,25%,131,24.2,6.23,6
6,50%,64,0,72.69,2
6,75%,73,100,0,2
6,100%,91,100,0,3
7,0%,93,100,0,4
7,25%,98,87.5,0,4
7,50%,95,21.67,100,5
7,75%,94,100,0,4
7,100%,108,100,0,4
8,0%,112,100,0,5
8,25%,49,0,95,2
8,50%,89,100,0,3
8,75%,107,100,0,4
8,100%,119,100,0,5
